Category,Name,Abbr.,Region,Level,Tiers,Group,Available,Prereqs,Challenge,Note
Shadows of Angmar,Great Barrow: The Maze,Maze,Bree-land,20-160,1,Fellowship,Free,,Daily,"Located in Southern Barrow-downs, see also the Great Barrow"
Shadows of Angmar,Great Barrow: Thadúr,Thadur,Bree-land,20-160,1,Fellowship,Free,,Daily,"Located in Southern Barrow-downs, see also the Great Barrow"
Shadows of Angmar,Great Barrow: Sambrog,Sammy,Bree-land,20-160,1,Fellowship,Free,Maze and Thadúr,Daily,"Located in Southern Barrow-downs, see also the Great Barrow"
Shadows of Angmar,Inn of the Forsaken,IoF or IotF,Lone-lands,20-160,2,Small Fellowship,Free,Discover,Daily,"Located inside the Forsaken Inn, in the basement"
Shadows of Angmar,Garth Agarwen: Arboretum,"Arboretum, GA",Lone-lands,32,1,Small Fellowship,Free,,Daily,In Garth Agarwen
Shadows of Angmar,Garth Agarwen: Barrows,"GA Barrows, GA",Lone-lands,32,1,Small Fellowship,Free,,Daily,In Garth Agarwen
Shadows of Angmar,Garth Agarwen: Fortress,"GA Fortress, GA",Lone-lands,32,1,Fellowship,Free,,Daily,In Garth Agarwen
Shadows of Angmar,Goblin-town Throne Room,"Goblin-town, Throne Room, GT",Misty Mountains,45,1,Fellowship,Free,,,The heart of Goblin-town
Shadows of Angmar,Fornost: Wraith of Water,"Fornost WoW, Water, Fornost",North Downs,25-160,2,Fellowship,Free,,Daily,See also Fornost
Shadows of Angmar,Fornost: Wraith of Earth,"Fornost WoE, Earth, Fornost",North Downs,25-160,2,Fellowship,Free,Water,Daily,See also Fornost
Shadows of Angmar,Fornost: Wraith of Fire,"Fornost WoF, Fire, Fornost",North Downs,25-160,2,Fellowship,Free,Earth,Daily,See also Fornost
Shadows of Angmar,Fornost: Wraith of Shadow,"Fornost WoS, Shadow, Fornost",North Downs,25-160,2,Fellowship,Free,Fire,Daily,See also Fornost
Shadows of Angmar,Halls of Night,HoN,Angmar,40-160,2,Small Fellowship,Free,Discover,Daily,East of Aughaire
Shadows of Angmar,Glinghant,Gling or Gardens,Evendim (Annúminas),40-160,1,Fellowship,Free,,Daily,"The former gardens of Annúminas, now corrupted by evil"
Shadows of Angmar,Ost Elendil,OE,Evendim (Annúminas),40-160,1,Fellowship,Free,,Daily,The throne room and outlying chambers of Annúminas
Shadows of Angmar,Haudh Valandil,HV,Evendim (Annúminas),40-160,1,Fellowship,Free,,Daily,"The tomb of Valandil, third King of Arnor"
Shadows of Angmar,Urugarth,Uru,Angmar,50,1,Fellowship,Free,,,South-east of Carn Dûm in NE Angmar
Shadows of Angmar,Carn Dûm,"Carn Dum, CD",Angmar,50,1,Fellowship,Free,,,North-eastern Angmar
Shadows of Angmar,Barad Gúlaran,"Barad Gularan, BG",Angmar,50,1,Fellowship,Free,,,"The fortress of the Witch-king, in north-eastern Angmar"
Shadows of Angmar,Library at Tham Mírdain,"Library, Lib",Eregion,50-160,1,Small Fellowship,Free,,Daily,An ancient library near the ring-forges of Mirobel
Shadows of Angmar,School at Tham Mírdain,School or Sch,Eregion,50-160,1,Small Fellowship,Free,,Daily,An ancient school near the ring-forges of Mirobel
Mines of Moria,Dark Delving,DD,The Foundations of Stone,58,1,Fellowship,Free,,Daily,
Mines of Moria,Forgotten Treasury,FT,The Silvertine Lodes,54,1,Fellowship,Free,,,A treasure-vault infiltrated by Uruks from Dol Guldur
